Sample_ID	Template	Fwd_primer	Plasmid Loc	Rev_primer
1	T7Mix	PacBioFwdV2-0	T7_initiation_series	PacBioRevV2-0
2	T7Mix	PacBioFwdV2-2	T7_initiation_series	PacBioRevV2-0
3	T7Mix	PacBioFwdV2-4	T7_initiation_series	PacBioRevV2-0
4	T7Mix	PacBioFwdV2-1	T7_initiation_series	PacBioRevV2-0
5	T7Mix	PacBioFwdV2-3	T7_initiation_series	PacBioRevV2-0
6	T7Mix	PacBioFwdV2-0	T7_initiation_series	PacBioRevV2-1
7	T7Mix	PacBioFwdV2-1	T7_initiation_series	PacBioRevV2-1
8	T7Mix	PacBioFwdV2-3	T7_initiation_series	PacBioRevV2-1
9	T7Mix	PacBioFwdV2-0	T7_initiation_series	PacBioRevV2-2
10	T7Mix	PacBioFwdV2-2	T7_initiation_series	PacBioRevV2-1
11	T7Mix	PacBioFwdV2-4	T7_initiation_series	PacBioRevV2-1
12	T7Mix	PacBioFwdV2-1	T7_initiation_series	PacBioRevV2-2
13	pFC9	PacBioFwdV2-0	pFC9.gb	PacBioRevV2-24-P9
14	pFC9	PacBioFwdV2-1	pFC9.gb	PacBioRevV2-24-P9
15	pFC9	PacBioFwdV2-2	pFC9.gb	PacBioRevV2-24-P9
16	pFC9	PacBioFwdV2-3	pFC9.gb	PacBioRevV2-24-P9
17	pFC9	PacBioFwdV2-4	pFC9.gb	PacBioRevV2-24-P9
18	pFC9	PacBioFwdV2-0	pFC9.gb	PacBioRevV2-26-P9
19	pFC9	PacBioFwdV2-1	pFC9.gb	PacBioRevV2-26-P9
20	pFC9	PacBioFwdV2-2	pFC9.gb	PacBioRevV2-26-P9
21	pFC9	PacBioFwdV2-3	pFC9.gb	PacBioRevV2-26-P9
22	pFC9	PacBioFwdV2-4	pFC9.gb	PacBioRevV2-26-P9
23	pFC9	PacBioFwdV2-0	pFC9.gb	PacBioRevV2-27-P9
24	pFC9	PacBioFwdV2-1	pFC9.gb	PacBioRevV2-27-P9
25	pFC9	PacBioFwdV2-2	pFC9.gb	PacBioRevV2-27-P9
26	pFC9	PacBioFwdV2-3	pFC9.gb	PacBioRevV2-27-P9
27	pFC9	PacBioFwdV2-4	pFC9.gb	PacBioRevV2-27-P9
28	T3TermMix	PacBioFwdV2-0	T3_termination_series	PacBioRevV2-3
29	T3TermMix	PacBioFwdV2-1	T3_termination_series	PacBioRevV2-3
30	T3TermMix	PacBioFwdV2-2	T3_termination_series	PacBioRevV2-3
31	T3TermMix	PacBioFwdV2-3	T3_termination_series	PacBioRevV2-3
32	T3TermMix	PacBioFwdV2-4	T3_termination_series	PacBioRevV2-3
33	T3TermMix	PacBioFwdV2-0	T3_termination_series	PacBioRevV2-4
34	pFC9	PacBioFwdV2-0	pFC9.gb	PacBioRevV2-25-P9
35	pFC9	PacBioFwdV2-1	pFC9.gb	PacBioRevV2-25-P9
36	pFC9	PacBioFwdV2-2	pFC9.gb	PacBioRevV2-25-P9
37	pFC9	PacBioFwdV2-3	pFC9.gb	PacBioRevV2-25-P9
38	pFC9	PacBioFwdV2-4	pFC9.gb	PacBioRevV2-25-P9
39	pFC53	PacBioFwdV2-5	pFC53.gb	PacBioRevV2-15-AplI
40	pFC53	PacBioFwdV2-6	pFC53.gb	PacBioRevV2-15-AplI
41	pFC53	PacBioFwdV2-7	pFC53.gb	PacBioRevV2-15-AplI
42	pFC53	PacBioFwdV2-8	pFC53.gb	PacBioRevV2-15-AplI
43	pFC9	PacBioFwdV2-5	pFC9.gb	PacBioRevV2-16-AplI
44	pFC9	PacBioFwdV2-6	pFC9.gb	PacBioRevV2-16-AplI
45	pFC9	PacBioFwdV2-7	pFC9.gb	PacBioRevV2-16-AplI
46	pFC9	PacBioFwdV2-8	pFC9.gb	PacBioRevV2-16-AplI
47	pFC9	PacBioFwdV2-5	pFC9.gb	PacBioRevV2-17-AplI
48	pFC9	PacBioFwdV2-6	pFC9.gb	PacBioRevV2-17-AplI
49	pFC9	PacBioFwdV2-7	pFC9.gb	PacBioRevV2-17-AplI
50	pFC9	PacBioFwdV2-8	pFC9.gb	PacBioRevV2-17-AplI
51	pFC9	PacBioFwdV2-5	pFC9.gb	PacBioRevV2-18-AplI
52	pFC9	PacBioFwdV2-6	pFC9.gb	PacBioRevV2-18-AplI
53	pFC9	PacBioFwdV2-7	pFC9.gb	PacBioRevV2-18-AplI
54	pFC9	PacBioFwdV2-8	pFC9.gb	PacBioRevV2-18-AplI
